file_name,caption_1,caption_2,caption_3,caption_4,caption_5
train/2655647656_ee450446ed.jpg,boy leaping on to slip and slide with his friends watching in the background,boy playing outside on slip and slide,young boy dives onto water toy,young boy leaps onto water toy while five people look on,the young boy is enjoying himself playing on the water toys
train/3227499174_07feb26337.jpg,bride and groom stand in front of church display while looking at one another,man and wife stand at the alter as they get married,bride and groom standing in church surrounded by flowers,newlyweds smile and pose for picture after their ceremony,two people are getting married in church
test/561179890_af8e31cb2e.jpg,bearded man with backpack on his back holding tripod in front of rocky creek and bridge,man dressed in warm clothes stands before bridge that traverses river,man standing in front of wooden bridge near rocky river,the man is walking outside near rocky river,there is man with moustache cap and backpack standing by bridge that running crosses water
train/2704379125_9c35650d16.jpg,black dog follows group of sheep walking in field of grass,black sheepdog is guiding sheep along grassy path,dog chasing sheep down county road,sheepdog is herding sheep down grassy path,black dog following herd of sheep down grassy lane
train/326585030_e1dcca2562.jpg,man drives boat along waterway lined with apartments,man driving blue boat passes by some colorful houses,man steers boat through the canal lined with colorful houses with red roofs,man steers blue boat past brightly colored houses,person on boat in canal
train/246055693_ccb69ac5c6.jpg,blond dog runs down flight of stairs to the backyard,dog jumps off the stairs,tan dog runs down wooden staircase to the green grass,yellow dog is jumping across grassy yard in front of wooden deck,yellow dog jumping off of porch
test/3406116788_c8f62e32d1.jpg,man in blue sits on wall with bags,man sits on bench with some bags,man sitting outside with bags and camera,an older man in blue hoodie is sitting down next to his bags,older man is sitting on bench with his two bags
train/2247192427_5e106f24a9.jpg,children play basketball on court,four young boys play basketball,several children are playing basketball game on basketball court,three small boys play basketball indoors,three small boys playing basketball
train/3518118675_5053b3f738.jpg,man is doing trick on public steps,man riding unicycle down set of stairs,man walking down stairs,skateboarder goes down some stairs,the man is going down stairs on unicycle
train/488408004_a1e26d4886.jpg,child in formal clothing is walking along the edge of stony area that is littered in places,little boy with blue jacket is making sour face at the camera,young boy wearing light blue jacket walks across the brick patio,young boy with blue coat makes funny face as he walks towards the grass,the young boy is walking wearing blue jacket black sweater and white collared shirt
test/2515247156_c1b759fc33.jpg,boy goes down blue slide with his eyes closed,young boy slides down blue slide with his eyes closed while woman with sunglasses watches smiling,young male child slides down blue slide while his mom watches,child sliding down blue slide with mother at the top of the slide,little boy coming at camera down blue slide smiling woman in background
test/2830869109_c4e403eae6.jpg,boy and girl playing with buckets in lawn sprinkler,girl and boy are playing with buckets of water in the garden overlooking lake,girl with bucket of water is being chased by boy with bucket of water,young girl and young boy are playing with pails of water with the ocean in the background,children play in sprinkler near beach
train/3560125106_691c292893.jpg,dog is jumping through fiery obstacle,dog is jumping through flaming hoop,light brown dog jumps through ring of fire while two people watch,show dog jumps through flaming obstacle,tan dog is jumping through fire hoop
train/3426933951_2302a941d8.jpg,boys outside building,kids play soccer in front of marble building with giant oak doors,several young boys playing soccer in front of huge brown wooden door,some children are playing soccer in front of large wooden door,the four children are playing with ball outside building
train/2427490900_5b7a8874b9.jpg,group of people sit on both sides of red stone structure,group of people sitting on the ground outside of monument,group of people sit together near the stairs of monument,many people sit at the base of large marble archway engraved with names,people sit on both sides of memorial
train/1680126311_b92a2e8e72.jpg,boy hitting soccer ball with his chest,child is hitting soccer ball with their chest,child is playing soccer with blue and white soccer ball nearby onlookers,the boy hits the blue and white soccer ball with his knee,the boy is kicking soccer ball
test/512634877_d7ad8c8329.jpg,brown dog in red harness chasing red ball,brown dog with harness is chasing after red ball,dog in harness chasing red ball,dog wearing harness is playing with red ball in grassy area,pitbull dog chasing red ball
train/3281078518_630a7a7f4f.jpg,group of dogs chickens and turkey stand by bucket,five white puppies and several chickens compete for food,many white puppies are eating food near several brown roosters,puppies chickens and turkey examining bucket contents on dirt,some chicken dogs and turkey are trying to get some food out of white bucket
train/3420469425_2980b4cd30.jpg,couple is holding their baby at ceremony while the priest reads his book,couple stadning with their children getting baptized by priest,priest holding book is looking towards woman and her baby,woman holds baby while man looks at it as another man holding child watches,woman holding baby with priest
test/2831578193_3c997ae330.jpg,person feeding strawberry to turtle,tortoise attempts to eat berry,someone feeds strawberry to turtle,the tortoise is being fed an strawberry,the turtle is being fed strawberry
train/2854291706_d4c31dbf56.jpg,man and woman are wearing black and looking at something on the sidewalk,man and woman standing in front of signs,man and women looking at magazines in window,man puts his arm around woman as they look at signs on the street,interracial couple stand together looking at display on street
train/1456393634_74022d9056.jpg,boy doing handstand on the beach,child does handstand on the sand at the beach,child doing handstand on the beach,little boy does cartwheel on the beach,little boy doing handstand on the beach
train/509241560_00e5b20562.jpg,group of children are playing near statue,group of kids play on colorful structure,four children playing on tentlike structure,four middle eastern children three girls and one boy climb on grotto with pink interior,some children climb around shrine
train/374124237_51f62b6937.jpg,girl dressed in black is posing for the camera,woman dressed in black,woman in black clothes with one leg up,woman in black leggings and beige cowboy boots,woman is propping her leg up revealing cleavage great tatoo and some kicking boots
test/542648687_adf13c406b.jpg,two dogs run in field looking at an unseen frisbee,two black and white dogs in field of flowers and grass,two black and white dogs look toward something in the air while running in grassy field,two black and white dogs running in flowery field,two dogs change direction in an uncut field surrounded by low brush
train/2923475135_a6b6e13d26.jpg,brown horse with rider sitting on him is jumping over blue barrier,horse and rider jumping barrier on course,person in white jumps brown horse over the gate,jockey and horse jump over blue hurdle,there is horse and rider jumping over hurdle
train/335588286_f67ed8c9f9.jpg,fluffy dog holds stick in its mouth on beach,small white dog catching stick on the shore at the beach,white dog has caught stick on the beach beside the ocean,white dog is running along beach with stick in its mouth,white dog on beach is carrying stick in its mouth
train/3547524138_4157f660b0.jpg,adults and children are playing with water balloons in the street,group of people play game in the road,group of people play game in the street passing balloons to one another,people passing water balloons in the street,the early stages of water balloons toss
test/1019077836_6fc9b15408.jpg,brown dog chases the water from sprinkler on lawn,brown dog plays with the hose,brown dog running on lawn near garden hose,dog is playing with hose,large brown dog running away from the sprinkler in the grass
train/2687328779_b4356dab16.jpg,dog is being squirted with hose as it jumps into paddling pool,dog is hosed as it jumps into kiddie pool,terrier is sprayed by hose while jumping in pool,white dog with black patches runs jumps through spray from hose into blue plastic wading pool,while one white dog is outside the pool another white dog with black spot on its back is jumping into plastic swimming pool while getting sprayed by garden hose
train/3700554247_9824ae6f3a.jpg,bird with long orange bill drinks water,an egret stretches his neck to eat things out of the still water,white crane looks for food in the water,the white bird stands in water near tall reeds,the white crane is searching for food in pond
test/124972799_de706b6d0b.jpg,cat under the bench hissing with dog growling and trying to get it,dog toys with cat hiding under bench,snarling brown and black dog corners brown longhaired cat under wooden bench,snarling dog approaches hissing cat,black and brown dog growling at brown cat hiding under wooden bench
train/2203449950_e51d0f9065.jpg,girl in frilly pink dress dancing on grass,toddler in pink dress walks through the grass,young girl dressed in princess costume dress,young girl dressed up in princess costume outside,the young girl standing on the grass is wearing pink dress
train/57417274_d55d34e93e.jpg,few people sit together on the snowy mountaintop,group of climbers rest on summit that overlooks another mountain range,group of mountain climbers rests at the summit,group of people sitting on top of rocks with snow covered mountains on both sides of them,people are sitting on snowy mountain
train/3504881781_6a842e043b.jpg,group of men are changing the shells on cannon,group of men loading cannon,several men loading metal cannon,several people work on machine,some men try to load what looks like cannon
test/2956895529_ec6275060e.jpg,bicycle gets airborne,bicyclist jumping trick on bike,guy is sitting on his bike with one wheel in the air,this person is doing stunt on bicycle with one wheel on ledge and one in the air,young man performing bicycle trick on loading dock near dumpsters
test/2613993276_3c365cca12.jpg,dog in grass field runs with ball in its mouth,dog running across field with ball in its mouth,dog with ball that is running in field,little dog is bringing back ball on an open grass field,long haired dog runs across lawn with yellow ball in its mouth
test/3726168984_1fa2c8965b.jpg,black dog is colliding with golden dog that has something in its mouth,black dog trying to mate with brown dog,brown dog and yellow dog play fight over plastic bottle,brown dog is climbing over golden dog that is carrying bottle in its mouth,two dogs play with bottle
train/3001612175_53567ffb58.jpg,man and dog walk down cement steps while woman in headscarf looks on from seated position on the bottom step,man walks his black dog down the cement steps where woman dressed in black sits,woman with dog descends an outdoor staircase bus behind her,young man walks his dog down some steps where blackclad woman is sitting,one woman is sitting on steps another woman is coming down them
train/483841513_e660391880.jpg,girl does handstand on trampoline,girl doing handstand on trampoline,girl doing handstand on trampoline,girl is doing trick on her trampoline,little girl does handstand on trampoline
train/3482062809_3b694322c4.jpg,group of tourists stand around as lady puts her hand near the mouth of statue,woman is making statue pretend to kiss her hand beside four boys at bench,woman posing with statue alongside group of boys,woman with backpack leans again statue while group of boys sit on bench talking,woman gets her hand kissed by living statue street artist
train/3523920786_0eb63993fd.jpg,black dog running on path in the midst of field,black dog runs across the dirt road,brown dog running along dirt road,dog runs down dirt road,black dog in bandanna runs down dirt road
train/3622216490_1314a58b66.jpg,child does skateboard trick off ramp,long haired bearded young skateboarder does stunt on skateboarding surface,man skateboarding up ramp,skateboard performs trick off quarter pipe,young man with long hair ramps his skateboard into the air
train/2817847072_5eb3bc30ac.jpg,boy in soccer uniform running in field during game,boy in soccer uniform running on field,boy in green and white looks alert during soccer game,soccer player is running on the field,soccer player running on the field
train/1350948838_fdebe4ff65.jpg,black and white dog jumping into pool,black and white dog jumping into swimming pool,black dog jumping into large pool,wet black dog jumps into pool to fetch ball,black and white dog leaps away from camera into pool
train/146577645_91b570c0d0.jpg,kayaker goes through the waves holding his paddle,man paddles down the rapids in kayak,man with red helmet kayaking,person maneuvers rapids while riding watercraft,man kayaking through rough waters
train/446286714_dcec7f339e.jpg,an elderly man is sitting on bench,an older man wearing brown coat siting on bench,an old man in coat and hat sitting on park bench,old man in tan jacket and black cap sitting on bench,the older man with the shopping bag and cane is sitting on bench
test/3133825703_359a0c414d.jpg,child staring at santa,father and son looking at funny looking santa,little boy and his father talking to man dressed as santa claws,the child is looking at santa claus,the little boy has yellow crown and the man is wearing red velvet
train/404702274_fa8b3fe378.jpg,black and white dog is leaping from snowy path,brown and white dog jumps in the air to catch snowball,dog jumps up and tries to catch lump of snow,dog jumping to catch falling snow out in the woods,the white and brown dog leaps into the air above snow covered ground
train/3580082200_ea10bf2f68.jpg,man and brown dog in motion in the grass,man is interacting with dog that is running past him,man is training his dog in the field near the homes,man is using ballthrower to throw an object to his dog,man throwing an object at dog who is running away
train/2364096157_eb7970a69a.jpg,black and brown dog carries red toy in his mouth,dog runs on the beach with red dog toy with yellow rope attached,dog trotting down the beach with toy in its mouth,german shepherd walks at the beach with an orange kong toy in its mouth,the dog is walking on the beach carrying piece of yellow rope in its mouth
train/1468429623_f001988691.jpg,black dog is jumping up biting man padded arm,dog leaps on man,man training dog to attack his padded left arm,man walks while black dog is trying to bite something on the man arm,the man is wearing safety gear while he is training the black dog
train/241347243_c751557497.jpg,football player quarterback in red sooners jersey and red helmet prepares to receive snap,football players huddle and get ready for the game,football players stand at the line of scrimmage,oklahoma sooner football players on the field,the sooners quarterback is waiting for the snap from his center
train/70995350_75d0698839.jpg,kite surfer is doing flip over the waves,man jumps over wave on his surfboard,person on parasail jumps off wave,silver craft rides the waves,windsurfer angles over wave
train/3584930205_a3f58a4b7c.jpg,boy skateboarding,man jumps off an orange ramp with his skateboard,skateboarder ollies off ramp,person doing skateboard stunt,the man in the background is watching the skateboarder complete jump
train/3143953179_1c08c023a5.jpg,bunch of people are watching ice skaters,kids play in the snow while parents watch,many people are watching others ice skate on snowy day,people are ice skating around tree with onlookers and buildings nearby,several people standing near tree in front of buildings
test/2707969386_94dde00ce4.jpg,little grey dog is jumping over fence,little grey dog jumps over small hurdle,little grey dog jumps over bar at an agility test,small dog jumping an obstacle in grassy field,small dog jumping over an obstacle
train/241345427_ece0d186c2.jpg,football player dodges tackle from his opponent,football player in red chases football player in blue,football player in red is trying to tackle another player who has the ball,football player wears jersey wuth the number on it,the football player in the gold helmet is running
train/3384742888_85230c34d5.jpg,dog plays with toy in the grass,rotweiler playfully rolls over int he grass with toy,black and tan dog playing with toy and rolling on the grass,dog chewing up ball while rolling in grass,the dog is resting after game of fetch
train/3117336911_a729f42869.jpg,children playing in pool,swimmers move through the water,two children splashing in the water,two kids splashing in the water,two people are in the water and splashing
train/3737539561_d1dc161040.jpg,there are two kids in swimmies playing outside next to some trees,two boys with long blond hair are climbing on hillside,two boys with water wings climb tree,two children posing for picture wearing water wings and sitting on rock,two little boys are sitting on clump of dirt
train/3328646934_5cca4cebce.jpg,blond boy slides down sand dune on skateboard with no wheels,blond child runs down sand dune while another looks on,blonde girl surfing down sandy hill,woman is snowboarding down an incline while another woman stands behind,young person sliding down sandy hill
train/536495604_b22bbc905a.jpg,lady in black clothing holds her baby in red sling,woman in black holds baby in an orange blanket,woman in black is standing on an urban sidewalk carrying baby in an orange baby wrap,woman is standing in the street with baby in sling,woman wearing black standing on the sidewalk is holding baby in an orange carrier
train/3453313865_1ebff5393c.jpg,male rides skateboard in the road,man wearing black shorts in skateboarding in the street,man wearing no shirt skateboarding on the street,man with no shirt speed skateboards downhill,shirtless man skateboards down sunny roadside
test/1022454428_b6b660a67b.jpg,couple and an infant being held by the male sitting next to pond with near by stroller,couple sit on the grass with baby and stroller,couple with their newborn baby sitting under tree facing lake,man and woman care for an infant along the side of body of water,couple with baby sit outdoors next to their stroller
train/3426724811_137855b4f7.jpg,group of people in hazmat suits are standing with dummy on stretcher,people wearing suits practicing rescue in dangerous environment,several men in biohazard suits carrying human looking doll on rolling bed,several men in protective suits are rolling man on gurnee,there is man on stretcher surrounded by men in hazmat suits
train/143680442_2f03f76944.jpg,climber is suspended on an overhang that overlooks tree covered hill,man is hanging from cliff while rock climbing high above,man mountain climbing hanging under rock,person hangs from rocky cliff as they try to climb,someone is rock climbing and hanging under the edge of cliff
train/540338917_57069687be.jpg,man in gray shirt and black shorts poses in front of mountain,man in grey tshirt standing in front of snowcovered mountain,man poses near mountain,man wearing black shorts is standing in front of snow covered mountain,man wearing glasses stands in front of snowy mountain
train/3169591322_d0b6d0cd04.jpg,man performs skateboard trick in parking lot,person on skateboard during high jump,skateboarder is airborne in front of some low brick buildings,skateboarder is flying through the air on red skateboard,skateboarding soaring through the air in front of blue building
train/3487015378_2e90a79f4b.jpg,girl dressed in green rollerskates past festival crowd,woman dressed in green is rollerskating outside at an event,woman in green skates through street fair,woman in green uniform skates down the road at the fair,girl wearing green rollerskates on cement
train/3369354061_2bab79f91f.jpg,blonde baby girl in green is walking and holding box,little girl in green dress with blue dots is carrying box with handle,little girl in bright green is walking on pavement while carrying bag or box,little girl runs down summer street with no shoes and lunchbox,young girl walks with lunchbox
train/3694991841_141804da1f.jpg,long haired drummer plays music outdoors,man with long hair and tattoos plays drum outdoors,musician plays drum while his hair covers his face and tattoos dot his arms,tatooed person shakes their hair and beats drum,the drummer beats the drums at an outdoor concert
test/2518094853_dfce24ce8c.jpg,beige dog with his tongue out is leaping in the air above the grass,big tan dog runs through grass field with his tongue hanging,brown dog runs through field,tan dog running through grassy field with trees in the background,large dog running in the field
